Identifier;Company Name;Country of Headquarters;ESG Score
AIXGn.DE;Aixtron SE;Germany;72,92;75,48;74,61;60,8;54,31;54,58;46,54;34,91;33,03;28,02
HDDG.DE;Heidelberger Druckmaschinen AG;Germany;54,1;54,66;56,2;53,01;52,62;43,77;42,46;33,16;40,41;36,55
FIEG.DE;Fielmann AG;Germany;53,59;55,12;50,46;42,23;41,31;37,47;22,37;27,32;21,52;22,05
HNRGn.DE;Hannover Rueck SE;Germany;78,22;70,25;53,98;61,61;62,38;60,34;71,72;66,56;67,56;62,28
ADSGn.DE;Adidas AG;Germany;91,55;89,98;92,1;90,82;86,38;85,58;88,42;93,5;86,72;90,93
SOWGn.DE;Software AG;Germany;69,24;65,37;57,8;44,04;52;38,28;53,54;45,94;47,7;41,34
MVVGn.DE;MVV Energie AG;Germany;51,93;51,79;50,04;49,82;53,08;45,89;42,27;46,31;37,32;40,24
NAFG.DE;Aurubis AG;Germany;82,17;80,71;77,54;72,51;69,38;66,2;61,22;64,13;63,02;56,47
DEQGn.DE;Deutsche EuroShop AG;Germany;24,86;28,46;24,34;21,84;15,95;17,93;16,82;13,2;12,41;18,51
IFXGn.DE;Infineon Technologies AG;Germany;83,05;83,06;82,17;76,73;76,99;78,96;82,99;80,02;74,31;73,17
DPWGn.DE;Deutsche Post AG;Germany;79,54;83,55;85,55;87,09;80,12;80,3;82,87;80,36;78,1;79,5
DB1Gn.DE;Deutsche Boerse AG;Germany;75,27;77,15;73,32;73,18;73,17;72,19;69,32;66,31;64,53;64,86
FRAG.DE;Fraport Frankfurt Airport Services Worldwide AG;Germany;79,64;84,68;82,36;83,82;82,2;85,82;86,24;83,5;80,86;75,46
ARLG.DE;Aareal Bank AG;Germany;72,88;73,59;73,43;69,7;71,9;67,48;60,64;60,96;54,62;55,14
LXSG.DE;Lanxess AG;Germany;82,55;80,88;77,88;75,29;64,57;63,48;69,08;67,24;69,06;66,69
MTXGn.DE;MTU Aero Engines AG;Germany;83,18;85,39;80,21;82,23;76,58;78,11;73,87;53,05;52,28;50,22
WCHG.DE;Wacker Chemie AG;Germany;75,64;67,76;67,8;65,28;53,19;55,17;53,13;51,39;56,33;53,54
DWNG.DE;Deutsche Wohnen SE;Germany;83,17;76,96;67,76;71,18;71,61;53,46;47,81;48,71;38,86;39
KCOGn.DE;Kloeckner & Co SE;Germany;66,17;56,46;51,15;48,95;50,11;51,48;47,05;46,79;47,67;46,58
SY1G.DE;Symrise AG;Germany;77,8;77,28;73,85;69,02;71,49;68,6;62,97;66,62;63,46;70,76
EVKn.DE;Evonik Industries AG;Germany;88,84;89,12;89,04;85,88;86,95;88,23;88,08;87,31;84,01;75,86
FNTGn.DE;freenet AG;Germany;39,89;39,32;34,47;35,33;33,89;16,95;16,72;10,19;7,52;14,94
GXIG.DE;Gerresheimer AG;Germany;71,41;78,84;75,02;73,7;70,75;57,27;52,91;43,39;45,67;36,74
HHFGn.DE;Hamburger Hafen und Logistik AG;Germany;69,56;72,29;68,37;55,84;51,64;47,57;45,81;46,05;46,96;47,52
CTNGk.F;Centrotherm International AG;Germany;23,2;19,65;19,38;22,78;16,31;14,24;15,19;19,58;20,6;38,03
KD8Gn.H;Kabel Deutschland Holding AG;Germany;19,88;14,04;8,86;19,24;18,37;21,1;20,76;23,3;33,66;23,58
BNRGn.DE;Brenntag SE;Germany;64,42;61,8;63,44;59,83;62,49;56,53;57,04;42,06;37,6;29,1
O2Dn.DE;Telefonica Deutschland Holding AG;Germany;74,35;69,32;66,76;58,25;54,95;43,89;40,99;35,96;32,2;42,6
