Identifier;Company Name;Country of Headquarters;"ESG Score
In the last 10 FY";;;;;;;;;
;;;FY0;FY-1;FY-2;FY-3;FY-4;FY-5;FY-6;FY-7;FY-8;FY-9
LEIG.DE;Leifheit AG;Germany;62,28;56,26;55,57;;;;;;;
LEOGn.DE;Leoni AG;Germany;65,97;62,83;61,72;57,83;54,94;49,43;51,18;51,01;59,12;53,32
MNVG.F;Mainova AG;Germany;;;;;;;;;;
MTVG.DE;Albis Leasing AG;Germany;;;;;;;;;;
MUTG.F;Mineralbrunnen Ueberkingen-Teinach GmbH & Co KgaA;Germany;;;;;;;;;;
MUVGn.DE;Muenchener Rueckversicherungs Gesellschaft in Muenchen AG;Germany;88,96;85,32;88,94;84,41;83,11;82,48;69,96;69,87;71,97;68,56
NAKG.H;NAK Stoffe AG;Germany;;;;;;;;;;
NHB0n.MU;Nebelhornbahn-AG;Germany;;;;;;;;;;
NBHG.MU;Hoftex Group AG;Germany;33,4;31,24;;;;;;;;
NSTG.SG;Steuler Fliesengruppe AG;Germany;;;;;;;;;;
NUCG.SG;Nucletron Electronic AG;Germany;;;;;;;;;;
NLVGn.DE;Nuernberger Beteiligungs AG;Germany;;;;;;;;;;
OELG.F;ADM Hamburg AG;Germany;;;;;;;;;;
OAB0k.H;OAB Osnabruecker Anlagenund Beteiligungs-Aktiengesellschaft;Germany;;;;;;;;;;
PKBG.F;PARK & Bellheimer AG;Germany;;;;;;;;;;
PITG.F;Pittler Maschinenfabrik AG;Germany;;;;;;;;;;
PPZG.BE;Pommersche Provinzial-Zuckersiederei AG;Germany;;;;;;;;;;
PSHG_p.DE;Porsche Automobil Holding SE;Germany;18,56;15,32;11,4;9,95;11,24;7,75;3,91;7,61;11,44;17,76
TUI1n.DE;TUI AG;Germany;76,89;79,51;79,54;81,96;84,97;82,62;83,77;73,59;76,12;66,16
PWO.DE;PWO AG;Germany;54,36;45,2;;;;;;;;
KULG.MU;Kulmbacher Brauerei Aktien-Gesellschaft;Germany;;;;;;;;;;
RKBG.F;Webac Holding AG;Germany;;;;;;;;;;
RLVG.D;RheinLand Holding AG;Germany;5,01;;;;;;;;;
RHMG.DE;Rheinmetall AG;Germany;81,18;80,07;69,72;42,73;38,5;43,89;45,66;39,17;39,27;37,93
SAPG.DE;SAP SE;Germany;90,71;94,49;93,18;93,4;93,58;92,24;91,56;90,55;88,62;90,69
SSSG.D;Schulte-Schlagbaum AG;Germany;;;;;;;;;;
SCMG.F;Schumag AG;Germany;;;;;;;;;;
SBVG.SG;Schwabenverlag AG;Germany;;;;;;;;;;
SMBG.F;Schwaelbchen Molkerei Jakob Berz AG;Germany;;;;;;;;;;
SPBH.F;Sedlmayr Grund und Immobilien AG;Germany;;;;;;;;;;
