Company Name;Country of Headquarters;ESG Score;;;;;;;;;
;;46,54;37,86;35,58;27,42;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;38,27;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;48,2;49,54;46,65;;;;;;;
;;;;;;;;;;;
;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
Steuler Fliesengruppe AG;Germany;;;;;;;;;;
Nucletron Electronic AG;Germany;;;;;;;;;;
Nuernberger Beteiligungs AG;Germany;;;;;;;;;;
ADM Hamburg AG;Germany;;;;;;;;;;
OAB Osnabruecker Anlagenund Beteiligungs-Aktiengesellschaft;Germany;;;;;;;;;;
PARK & Bellheimer AG;Germany;;;;;;;;;;
Pittler Maschinenfabrik AG;Germany;;;;;;;;;;
Pommersche Provinzial-Zuckersiederei AG;Germany;;;;;;;;;;
Porsche Automobil Holding SE;Germany;18,56;15,32;11,4;9,95;11,24;7,75;3,91;7,61;11,44;17,76
TUI AG;Germany;76,89;79,51;79,54;81,96;84,97;82,62;83,77;73,59;76,12;66,16
PWO AG;Germany;54,36;45,2;;;;;;;;
Kulmbacher Brauerei Aktien-Gesellschaft;Germany;;;;;;;;;;
Webac Holding AG;Germany;;;;;;;;;;
RheinLand Holding AG;Germany;5,01;;;;;;;;;
Rheinmetall AG;Germany;81,18;80,07;69,72;42,73;38,5;43,89;45,66;39,17;39,27;37,93
SAP SE;Germany;90,71;94,49;93,18;93,4;93,58;92,24;91,56;90,55;88,62;90,69
Schulte-Schlagbaum AG;Germany;;;;;;;;;;
Schumag AG;Germany;;;;;;;;;;
Schwabenverlag AG;Germany;;;;;;;;;;
Schwaelbchen Molkerei Jakob Berz AG;Germany;;;;;;;;;;
Sedlmayr Grund und Immobilien AG;Germany;;;;;;;;;;
Schloss Wachenheim AG;Germany;;;;;;;;;;
Sixt SE;Germany;57,63;42,3;35,91;31,45;28,81;11,57;;;;
SLOMAN NEPTUN Schiffahrts-AG;Germany;;;;;;;;;;
Salzgitter AG;Germany;71,59;69,05;64,6;58,94;57,08;54,27;35,66;27,54;29,06;28,97
STINAG Stuttgart Invest AG;Germany;;;;;;;;;;
Suedwestdeutsche Salzwerke AG;Germany;;;;;;;;;;
Suedzucker AG;Germany;68,33;62,63;53,71;48;44,18;48,24;33,64;35,43;23,32;17,01
TAG Immobilien AG;Germany;69,63;70,17;60,68;55,86;49,35;47,93;;;;
Pinguin Haustechnik AG;Germany;;;;;;;;;;
UeSTRA Hannoversche Verkehrsbetriebe AG;Germany;;;;;;;;;;
Varta AG;Germany;56,62;48,11;31,48;13,41;11,58;;;;;
E ON SE;Germany;76,74;73,02;70,64;74,99;74,45;68,58;77,42;78,35;79,53;82,04
Vereinigte Filzfabriken AG;Germany;;;;;;;;;;
Volkswagen AG;Germany;85,45;86,05;89,17;87,6;83,13;82,53;79,92;80,18;83,95;79,24
H&R GmbH & Co KgaA;Germany;42,2;44,66;40,78;34,31;32,45;;;;;
Westag AG;Germany;;;;;;;;;;
WKM Terrainund Beteiligungs-Aktiengesellschaft;Germany;;;;;;;;;;
ECHOS Holding AG;Germany;;;;;;;;;;
WCM Beteiligungsund Grundbesitz-AG;Germany;;;;;;;;;;
Wuestenrot & Wuerttembergische AG;Germany;36,72;34,35;32,86;27,69;11,27;;;;;
Elringklinger AG;Germany;55,2;52,21;41,36;46,78;47,33;49,93;53,72;54,38;40,03;42,22
Zoologischer Garten Berlin AG;Germany;;;;;;;;;;
Zurich Insurance Group AG;Switzerland;89,36;89,98;87,75;83,89;79,71;66,92;67,86;61,2;62,78;59,24
Zwahlen et Mayr SA;Switzerland;;;;;;;;;;
Sonova Holding AG;Switzerland;85,17;88,63;84,19;83,76;80,17;76,38;67,32;66,8;64,73;50,19
CalciTech Ltd;Switzerland;;;;;;;;;;
Arbonia AG;Switzerland;66,9;63,94;57,35;41,33;32,73;;;;;
UBS (CH) Property Fd-Swiss Residential 'Anfos' CHF;Switzerland;;;;;;;;;;
GAM Holding AG;Switzerland;81,55;76,72;65,05;54,71;56,43;37,56;35,13;41,35;42,05;22,77
Basellandschaftliche Kantonalbank;Switzerland;48,49;46,3;39,95;;;;;;;
Basler Kantonalbank;Switzerland;;;;;;;;;;
Bell Food Group AG;Switzerland;46,06;46,67;43,75;33,24;;;;;;
Immo Helvetic;Switzerland;;;;;;;;;;
OC Oerlikon Corporation AG Pfaeffikon;Switzerland;75,53;59,82;53,59;47,5;47,51;47,71;46,27;48,15;46,29;49,67
Calida Holding AG;Switzerland;42,17;41,67;;;;;;;;
Carlo Gavazzi Holding AG;Switzerland;10,39;8,87;;;;;;;;
CI Com SA;Switzerland;;;;;;;;;;
Daetwyler Holding AG;Switzerland;47,51;52,5;49,71;46,99;;;;;;
